bagaimana cara login nya####2,3 -1,-1	AUTH_ACCESS#2
terbaik apps ##nya####-1,-1 0,1	FEATURES_PRODUCT#2 FEATURES_PRODUCT#2 FEATURES_PRODUCT#2
mudah dipakai dan tidak ribet####-1,-1 0,2	UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2 UI_UX_DESIGN#2
bebas iklan buka toko lele cepat bila dijalankan dan mengakses setiap fitur ##2 ##nya####1,2 5,6	PROMO_MARKETING#2 PROMO_MARKETING#2 PROMO_MARKETING#2 PROMO_MARKETING#2 PROMO_MARKETING#2 PROMO_MARKETING#2 PROMO_MARKETING#2 PROMO_MARKETING#2 PROMO_MARKETING#2
yang disayangkan pernah juga ketika dipakai terkadang agak sulit membukanya pas pada saat koneksi internet lagi kurang stabil####-1,-1 17,18	FEATURES_PRODUCT#0 FEATURES_PRODUCT#0 FEATURES_PRODUCT#0 FEATURES_PRODUCT#0 FEATURES_PRODUCT#0 FEATURES_PRODUCT#0 FEATURES_PRODUCT#0
terkadang loading lambat sangat dan hanya berputar - putar saja####1,2 2,3	APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0 APP_PERFORMANCE#0
mungkin cuma itu saja hal yang biasa terjadi di aplikasi ini dan yang lain sesuai pengalaman transaksi sukses####16,17 17,18	TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2 TRANSACTION_TRANSFER#2
saran dan masukan untuk kedepannya agar yang gangguan dibenahi lagi####7,8 -1,-1	APP_PERFORMANCE#2
sangat bagus dan menarik fitur 2 nya####4,5 0,2	FEATURES_PRODUCT#2
mudah untuk trans ##anks ##i####-1,-1 0,1	UI_UX_DESIGN#2
