bagaimana cara login nya	2,3 AUTH_ACCESS 2 -1,-1
terbaik appsnya	-1,-1 FEATURES_PRODUCT 2 0,1
mudah dipakai dan tidak ribet	-1,-1 UI_UX_DESIGN 2 0,2
bebas iklan buka toko lele cepat bila dijalankan dan mengakses setiap fitur2nya	1,2 PROMO_MARKETING 2 5,6
yang disayangkan pernah juga ketika dipakai terkadang agak sulit membukanya pas pada saat koneksi internet lagi kurang stabil	-1,-1 FEATURES_PRODUCT 0 17,18
terkadang loading lambat sangat dan hanya berputar - putar saja	1,2 APP_PERFORMANCE 0 2,3
mungkin cuma itu saja hal yang biasa terjadi di aplikasi ini dan yang lain sesuai pengalaman transaksi sukses	16,17 TRANSACTION_TRANSFER 2 17,18
saran dan masukan untuk kedepannya agar yang gangguan dibenahi lagi	7,8 APP_PERFORMANCE 2 -1,-1
sangat bagus dan menarik fitur 2 nya	4,5 FEATURES_PRODUCT 2 0,2
mudah untuk transanksi	-1,-1 UI_UX_DESIGN 2 0,1
mungkin kalau bisa setor tunai di atm akan sangat berguana banget	3,5 TRANSACTION_TRANSFER 2 -1,-1	6,7 TRANSACTION_TRANSFER 2 -1,-1
semoga bank jagi segera mengembangkannya senang	-1,-1 FEATURES_PRODUCT 2 5,6
bagus direkomendasikan dan sangat cepat digunakan	-1,-1 FEATURES_PRODUCT 2 1,2
bebas yang namanya iklan buka toko lele cepat bila dijalankan dan mengabsen setiap fitur - fiturnya	3,4 PROMO_MARKETING 2 7,8	13,14 FEATURES_PRODUCT 2 -1,-1
yang disayangkan pernah juga ketika dipakai terkena agak sulit untuk pada saat koneksi internet lagi kurang stabil	-1,-1 FEATURES_PRODUCT 0 16,17
terkadang loading lambat sangat dan kamu berputar - putar saja	1,2 APP_PERFORMANCE 0 2,3
mungkin cuma itu saja hal yang biasa terjadi di sini dan yang lain sesuai pengalaman transaksi sukses	15,16 TRANSACTION_TRANSFER 2 16,17
cara memasukkan untuk kedepannya yang gangguan dibenahi semua nya	5,6 APP_PERFORMANCE 2 -1,-1
aplikasi banyak bug	-1,-1 APP_PERFORMANCE 0 2,3
developernya tidak bisa benerin	-1,-1 FEATURES_PRODUCT 0 1,3
lupa pasword diblokir	2,3 AUTH_ACCESS 0 2,3
otp pun tidak dikirim	0,1 AUTH_ACCESS 0 -1,-1
kalau keluarga mu sulit tidak makan	-1,-1 FEATURES_PRODUCT 0 3,4
jatuh tempo pembayaran masih sekitar 1 mingguan lagi	2,3 TRANSACTION_TRANSFER 0 -1,-1
yg bikin kurang nya setiap saat di telepon terus	7,8 CUSTOMER_SERVICE 0 2,3
dari semalam beli pulsa axis seharga 30ribu sampai sekarang jam 12 13 belum sampai juga bikin malas bertransaksi ini di jago	3,4 TRANSACTION_TRANSFER 0 -1,-1
bisa tidak otp menggunakan email	2,3 AUTH_ACCESS 0 -1,-1
klo menggunakan nomor itu riskan kartu mati dan hilang	-1,-1 FEATURES_PRODUCT 0 8,9
transaksi sangat mudah bagus	0,1 TRANSACTION_TRANSFER 2 3,4
kenapa jadi sering keluar sendiri kalau mau buka baru memasuki password keluar terus kadang	3,5 APP_PERFORMANCE 0 3,5	10,11 AUTH_ACCESS 0 -1,-1
membantu sekali unk menabung	-1,-1 FEATURES_PRODUCT 2 0,1
sangat baik dengan banyak gratis administrasi transfer ke bank mana saja	5,6 FEES_CHARGES 2 4,5	6,7 TRANSACTION_TRANSFER 2 -1,-1
tidak perlu pakai aplikasi bank ini uang aku tidak masuk2 di transfer kawanku sudah 4 hari bertanya sana sini tidak ada respon hilang 2	11,12 TRANSACTION_TRANSFER 2 -1,-1	21,22 CUSTOMER_SERVICE 2 22,23
suka lag terus keluar sendiri	1,2 APP_PERFORMANCE 2 0,1	3,5 APP_PERFORMANCE 0 3,5
akun aku terkunci di bank jago tidak bisa dibuka tidak ada solusi sampai hari nih	2,3 AUTH_ACCESS 0 -1,-1	6,9 APP_PERFORMANCE 0 6,8
pelayanan lambat jika ada kendala	0,1 CUSTOMER_SERVICE 0 1,2
senang bisa gabung di bank jago mempermudahkan aku transfer dari taiwan ke akun bank jago jadi mudah kalau mau kirim ke keluarga langsung aku transfer lewat bank jago sendiri	8,9 TRANSACTION_TRANSFER 2 -1,-1
mohon pencerahan bagaimana aku bisa login ke aplikasi sementara nomer ponsel aku hilang dicuri orang	5,6 AUTH_ACCESS 0 -1,-1	13,14 SECURITY_FRAUD 0 12,13
login selalu mita otp	0,1 AUTH_ACCESS 2 -1,-1	3,4 AUTH_ACCESS 2 -1,-1
syariah ganti ke jago biasa tidak bisa	-1,-1 FEATURES_PRODUCT 1 5,7
sangat tidak nyaman	-1,-1 FEATURES_PRODUCT 0 2,3
mantap	-1,-1 FEATURES_PRODUCT 2 0,1
mudah	-1,-1 UI_UX_DESIGN 2 0,1
pembaruan jangan sampai nge lag	0,1 APP_PERFORMANCE 0 -1,-1	4,5 APP_PERFORMANCE 0 -1,-1
mudah dan praktis dalam bertransaksi	-1,-1 UI_UX_DESIGN 2 0,1
bagus bermanfaat dan berguna	-1,-1 FEATURES_PRODUCT 2 0,1
kok aplikasi tidak bisa dibukak	-1,-1 FEATURES_PRODUCT 0 2,4
bahasa nya tidak ngarti	0,1 UI_UX_DESIGN 0 -1,-1
inggris rumit	-1,-1 UI_UX_DESIGN 0 1,2
bebas transfer menjadi keunggulan aplikasi ini	1,2 TRANSACTION_TRANSFER 2 -1,-1
aku mau menghapus rekening bank jago aku kok tidak bisa minn	-1,-1 FEATURES_PRODUCT 0 8,10
transaksi mudah dan banyak bonus nya di jago	0,1 TRANSACTION_TRANSFER 2 1,2	4,5 INTEREST_RETURNS 2 -1,-1
dalam penghapusan penutupan penanganan administrasi nya sangat tidak nyaman	4,5 FEES_CHARGES 0 8,9
tidak bisa isi saldo kantong utama melalui alfamart atau indomaret	2,4 TRANSACTION_TRANSFER 0 0,2	4,5 FEATURES_PRODUCT 0 -1,-1
sangat buruk menurut saya	-1,-1 FEATURES_PRODUCT 0 0,2
hingga di telepon video dengan customer service dan semua di verifikasi	2,3 CUSTOMER_SERVICE 0 -1,-1	5,7 CUSTOMER_SERVICE 0 -1,-1	10,11 ONBOARDING_KYC 0 -1,-1
eeh ujung ujungnya gagal juga dan tidak ada klarifikasi terkait alasan gagal	-1,-1 APP_PERFORMANCE 0 3,4
aku sudah kirim data pribadi tidak masalah kok	3,5 SECURITY_FRAUD 0 -1,-1
bagus untuk investasi	2,3 FEATURES_PRODUCT 2 0,1
cepat dan tepat waktu	-1,-1 FEATURES_PRODUCT 2 0,1
suka keluar sendiri	1,3 APP_PERFORMANCE 0 1,3
simple dan sangat bermanfaat untuk menabung	-1,-1 FEATURES_PRODUCT 2 3,4
tidak ada fitur bantuan customer service di depan login	2,3 FEATURES_PRODUCT 0 -1,-1	3,4 CUSTOMER_SERVICE 0 -1,-1	4,6 CUSTOMER_SERVICE 0 -1,-1	8,9 AUTH_ACCESS 0 -1,-1
tolong diperbaiki lagi sistemnya aku menggunakan aplikasi ini selalu saja gangguan	10,11 APP_PERFORMANCE 0 -1,-1
mau transfer terima transfer selalu lama	1,2 TRANSACTION_TRANSFER 0 5,6
prosesnya lama sekali	-1,-1 FEATURES_PRODUCT 0 1,2
untuk pembayaran apapun sangat lama	1,2 TRANSACTION_TRANSFER 0 4,5
perbaikii tolong jangan mengecewakan	-1,-1 FEATURES_PRODUCT 2 3,4
tidak jelas	-1,-1 FEATURES_PRODUCT 0 0,2
tidak bisa transfer uang	2,3 TRANSACTION_TRANSFER 0 0,2
